source,target
<ATTRS> รู้สึกว่า ดีนะ <CONT_START> รับประทานดีอยู่นะครับ มองเห็นความเปลี่ยนแปลงของร่างกาย ทานแล้ว <START>,<ATTRS> รู้สึกว่า ดีนะ <CONT_START> รับประทานดีอยู่นะครับ มองเห็นความเปลี่ยนแปลงของร่างกาย ทานแล้ว <START> รับประทานดีอยู่นะครับ มองเห็นความเปลี่ยนแปลงของร่างกาย ทานแล้วรู้สึกว่าดีนะ
<ATTRS> ▁ใช้ ได้ดี <CONT_START> เหมาะกับราคานี้ ก็สรุปว่าดีครับ <START>,<ATTRS> ▁ใช้ ได้ดี <CONT_START> เหมาะกับราคานี้ ก็สรุปว่าดีครับ <START> ใช้ได้ดีเหมาะกับราคานี้ ก็สรุปว่าดีครับ
<ATTRS> ดีมากส่งของ ก็ เร็ว ของ <CONT_START> ใช้งานครับ <START>,<ATTRS> ดีมากส่งของ ก็ เร็ว ของ <CONT_START> ใช้งานครับ <START> ใช้งานดีมากส่งของก็เร็วของครับ
<ATTRS> ส่ง ไวมากดีมากใช้งานได้ ปกติ ไม่มีปัญหาคุ้มค่าสุดๆ <CONT_START>  สั่งตอนเย็น ตอนเช้าได้แล้ว สินค้าแพ็คมา อะไร ถือว่าครับ <START>,<ATTRS> ส่ง ไวมากดีมากใช้งานได้ ปกติ ไม่มีปัญหาคุ้มค่าสุดๆ <CONT_START>  สั่งตอนเย็น ตอนเช้าได้แล้ว สินค้าแพ็คมา อะไร ถือว่าครับ <START> ส่งไวมาก สั่งตอนเย็น ตอนเช้าได้แล้ว สินค้าแพ็คมาดีมาก ใช้งานได้ปกติไม่มีปัญหาอะไร ถือว่าคุ้มค่าสุดๆครับ
<ATTRS> ค่อนข้างดีคุ้ม <CONT_START> วัสดุนับว่าราคาครับ <START>,<ATTRS> ค่อนข้างดีคุ้ม <CONT_START> วัสดุนับว่าราคาครับ <START> วัสดุค่อนข้างดีนับว่าคุ้มราคาครับ
<ATTRS> ▁ ใส่สบาย <CONT_START> สั่งหลายรอบแล้วจร้าาา <START>,<ATTRS> ▁ ใส่สบาย <CONT_START> สั่งหลายรอบแล้วจร้าาา <START> ใส่สบายสั่งหลายรอบแล้วจร้าาา
<ATTRS> รวดเร็วคุณภาพ ใช้ได้ <CONT_START> ส่งของดี ค่ะ <START>,<ATTRS> รวดเร็วคุณภาพ ใช้ได้ <CONT_START> ส่งของดี ค่ะ <START> ส่งของรวดเร็วดี คุณภาพใช้ได้ค่ะ
<ATTRS> ดี ราคาไม่แพง <CONT_START> ใช้งานได้มาก <START>,<ATTRS> ดี ราคาไม่แพง <CONT_START> ใช้งานได้มาก <START> ใช้งานได้ดีราคาไม่แพงมาก
<ATTRS> ▁ชอบที่ส่ง เร็วมากดี จิงๆ <CONT_START> ครับ ทันใจ <START>,<ATTRS> ▁ชอบที่ส่ง เร็วมากดี จิงๆ <CONT_START> ครับ ทันใจ <START> ชอบที่ส่งเร็วมากครับ ทันใจดีจิงๆ
<ATTRS> ของ ไวดีมากคุ้ม <CONT_START> รับ พนักงานส่งของ คุณภาพราคา <START>,<ATTRS> ของ ไวดีมากคุ้ม <CONT_START> รับ พนักงานส่งของ คุณภาพราคา <START> รับของไว พนักงานส่งของดีมาก คุณภาพคุ้มราคา
<ATTRS> คุ้มค่าดีครับ ▁คุ้มใช้งานได้ ทนทาน <CONT_START>  ค่าราคา น่าจะมือใหม่น่าเอามาใช้ครับ <START>,<ATTRS> คุ้มค่าดีครับ ▁คุ้มใช้งานได้ ทนทาน <CONT_START>  ค่าราคา น่าจะมือใหม่น่าเอามาใช้ครับ <START> ดีครับ คุ้มค่าคุ้มราคา น่าจะใช้งานได้ทนทานมือใหม่น่าเอามาใช้ครับ
<ATTRS> ราคาถูก ▁แต่ส่งของ ไวมากวันไหน จะคุ้มไม่ผิดหวัง ค่ะ <CONT_START>  แต่ราคาขึ้นลงบ่อยมา ต้องเข้ามาเช็คราคาบ่อยๆ ว่าราคาถูก แต่แน่นอนค่ะ เลือกซื้ออันนี้ <START>,<ATTRS> ราคาถูก ▁แต่ส่งของ ไวมากวันไหน จะคุ้มไม่ผิดหวัง ค่ะ <CONT_START>  แต่ราคาขึ้นลงบ่อยมา ต้องเข้ามาเช็คราคาบ่อยๆ ว่าราคาถูก แต่แน่นอนค่ะ เลือกซื้ออันนี้ <START> ส่งของไวมาก แต่ราคาขึ้นลงบ่อยมา ต้องเข้ามาเช็คราคาบ่อยๆ ว่าวันไหนจะราคาถูก แต่คุ้มแน่นอนค่ะ เลือกซื้ออันนี้ไม่ผิดหวังค่ะ
<ATTRS> ของ เร็วมากชอบมาก <CONT_START> ได้รับ กระทะร้อนเร็ว ทำอาหารได้หลายอย่างเลยค่ะ  <START>,<ATTRS> ของ เร็วมากชอบมาก <CONT_START> ได้รับ กระทะร้อนเร็ว ทำอาหารได้หลายอย่างเลยค่ะ  <START> ได้รับของเร็วมาก กระทะร้อนเร็ว ทำอาหารได้หลายอย่างเลยค่ะ ชอบมาก
<ATTRS> สินค้า ใช้ ดี <CONT_START> สีสดใช้จนถึงทุกวันนี้ <START>,<ATTRS> สินค้า ใช้ ดี <CONT_START> สีสดใช้จนถึงทุกวันนี้ <START> สินค้าใช้ดีสีสดใช้จนถึงทุกวันนี้
<ATTRS>  <CONT_START> ร้านนี้ ขายสินค้าตรงตามประกาศ ส่งตามกำหนด สินค้าใช้งานดี <START>,<ATTRS>  <CONT_START> ร้านนี้ ขายสินค้าตรงตามประกาศ ส่งตามกำหนด สินค้าใช้งานดี <START> ร้านนี้ ขายสินค้าตรงตามประกาศ ส่งตามกำหนด สินค้าใช้งานดี
<ATTRS> เลยครับ ▁ภาพ ชัดถูกกว่า ในห้างดีมากไม่เคย ผิดหวัง <CONT_START> เยอะเลยครับ ภาพชัด สินค้าใหม่ พนักงานบริการ สั่งสินค้ากับลาซาด้าเลยครับ <START>,<ATTRS> เลยครับ ▁ภาพ ชัดถูกกว่า ในห้างดีมากไม่เคย ผิดหวัง <CONT_START> เยอะเลยครับ ภาพชัด สินค้าใหม่ พนักงานบริการ สั่งสินค้ากับลาซาด้าเลยครับ <START> ถูกกว่าในห้างเยอะเลยครับ ภาพชัด สินค้าใหม่ พนักงานบริการดีมาก สั่งสินค้ากับลาซาด้าไม่เคยผิดหวังเลยครับ
<ATTRS> ▁ พอใจ <CONT_START> แรงดี หน้าจอใหญ่ ส่งของเร็ว ครับ <START>,<ATTRS> ▁ พอใจ <CONT_START> แรงดี หน้าจอใหญ่ ส่งของเร็ว ครับ <START> แรงดี หน้าจอใหญ่ ส่งของเร็ว พอใจครับ
<ATTRS> ใหญ่มาก ▁ คุณภาพดีมากคุ้มค่า <CONT_START> จอใหญ่มาก คุณภาพเสียง ชัดเจน โดยรวมแล้วมาก <START>,<ATTRS> ใหญ่มาก ▁ คุณภาพดีมากคุ้มค่า <CONT_START> จอใหญ่มาก คุณภาพเสียง ชัดเจน โดยรวมแล้วมาก <START> จอใหญ่มาก คุณภาพเสียง ชัดเจนดีมาก โดยรวมแล้วคุ้มค่ามาก
<ATTRS> พกพาสะดวกของ เร็ว <CONT_START>  ได้ <START>,<ATTRS> พกพาสะดวกของ เร็ว <CONT_START>  ได้ <START> พกพาสะดวก ได้ของเร็ว
<ATTRS> เยี่ยม <CONT_START> โอเคมาก เป็นอย่างที่คาดหวังไว้  <START>,<ATTRS> เยี่ยม <CONT_START> โอเคมาก เป็นอย่างที่คาดหวังไว้  <START> โอเคมาก เป็นอย่างที่คาดหวังไว้ เยี่ยม
<ATTRS>  <CONT_START> ได้สินค้าภายในสองวัน OK นะครับ สมราคา ใช้งานได้ปกติ <START>,<ATTRS>  <CONT_START> ได้สินค้าภายในสองวัน OK นะครับ สมราคา ใช้งานได้ปกติ <START> ได้สินค้าภายในสองวัน OK นะครับ สมราคา ใช้งานได้ปกติ
<ATTRS> ดีมากๆได้เร็ว▁ ราคาถูกดีคะ <CONT_START> ๆคะ  แพ๊คดี สินค้าสภาพดี  ไม่ต้องไปเดินช๊อปเอง  <START>,<ATTRS> ดีมากๆได้เร็ว▁ ราคาถูกดีคะ <CONT_START> ๆคะ  แพ๊คดี สินค้าสภาพดี  ไม่ต้องไปเดินช๊อปเอง  <START> ดีมากๆๆคะ ได้เร็ว แพ๊คดี สินค้าสภาพดี ราคาถูก ไม่ต้องไปเดินช๊อปเอง ดีคะ
<ATTRS> รวดเร็วโดยรวม ให้คะแนน <CONT_START> ส่งของมาก สินค้าใหม่ด้วย เต็มครับ <START>,<ATTRS> รวดเร็วโดยรวม ให้คะแนน <CONT_START> ส่งของมาก สินค้าใหม่ด้วย เต็มครับ <START> ส่งของรวดเร็วมาก สินค้าใหม่ด้วย โดยรวมให้คะแนนเต็มครับ
<ATTRS> ส่ง เร็วต้องการ <CONT_START> ทันใช้ตามความ <START>,<ATTRS> ส่ง เร็วต้องการ <CONT_START> ทันใช้ตามความ <START> ส่งเร็วทันใช้ตามความต้องการ
<ATTRS> เนื้อผ้า ดีคุณภาพ สมกับ ราคา <CONT_START> แต่ไม่หนา เซ็กซี่ดีแต่ไม่โป๊ะ  <START>,<ATTRS> เนื้อผ้า ดีคุณภาพ สมกับ ราคา <CONT_START> แต่ไม่หนา เซ็กซี่ดีแต่ไม่โป๊ะ  <START> เนื้อผ้าดีแต่ไม่หนา เซ็กซี่ดีแต่ไม่โป๊ะ คุณภาพสมกับราคา
<ATTRS> ง่าย <CONT_START> ดีไม่ต้องหาซื้อให้ยุ่งยาก <START>,<ATTRS> ง่าย <CONT_START> ดีไม่ต้องหาซื้อให้ยุ่งยาก <START> ง่ายดีไม่ต้องหาซื้อให้ยุ่งยาก
<ATTRS> ▁สวยใช้งานง่ายส่ง เร็วมาก <CONT_START> มามากที่สำคัญ <START>,<ATTRS> ▁สวยใช้งานง่ายส่ง เร็วมาก <CONT_START> มามากที่สำคัญ <START> สวยมาใช้งานง่ายมากที่สำคัญส่งเร็วมาก
<ATTRS> ▁เสียง ดีส่ง เร็วคุ้ม <CONT_START>   ราคานี้ครับ <START>,<ATTRS> ▁เสียง ดีส่ง เร็วคุ้ม <CONT_START>   ราคานี้ครับ <START> เสียงดี ส่งเร็ว ราคานี้คุ้มครับ
<ATTRS> ดี ยังไม่มี ปัญหาอะไรชอบมาก <CONT_START> ใช้ค่ะ <START>,<ATTRS> ดี ยังไม่มี ปัญหาอะไรชอบมาก <CONT_START> ใช้ค่ะ <START> ใช้ดียังไม่มีปัญหาอะไรค่ะชอบมาก
<ATTRS> ถือว่า โอเค▁ ไหล ลื่นไม่มี สด ุดคุ้มค่ามากๆเลย <CONT_START> สเป็ครเลยคับ ดี สมกับราคา และ <START>,<ATTRS> ถือว่า โอเค▁ ไหล ลื่นไม่มี สด ุดคุ้มค่ามากๆเลย <CONT_START> สเป็ครเลยคับ ดี สมกับราคา และ <START> สเป็คถือว่าโอเครเลยคับ ไหลลื่นดีไม่มีสดุด สมกับราคา และคุ้มค่ามากๆเลย
<ATTRS> ส่งของ ไววัสดุ คุณภาพ <CONT_START> ใช้ดี มากเจ้านี้ จริงจริง <START>,<ATTRS> ส่งของ ไววัสดุ คุณภาพ <CONT_START> ใช้ดี มากเจ้านี้ จริงจริง <START> ใช้ดีส่งของไว มากเจ้านี้  วัสดุคุณภาพจริงจริง
<ATTRS> ดีค่ะส่ง เร็ว☺ <CONT_START> แพคของเรียบร้อย  ไว้จะสั่งอีกนะคะ <START>,<ATTRS> ดีค่ะส่ง เร็ว☺ <CONT_START> แพคของเรียบร้อย  ไว้จะสั่งอีกนะคะ <START> แพคของเรียบร้อยดีค่ะ ส่งเร็ว ไว้จะสั่งอีกนะคะ☺
<ATTRS> ผ้า นิ่ม▁ชอบ <CONT_START>  เด้งๆ ดีกว่าที่คิดไว้ คะ <START>,<ATTRS> ผ้า นิ่ม▁ชอบ <CONT_START>  เด้งๆ ดีกว่าที่คิดไว้ คะ <START> ผ้านิ่ม เด้งๆ ดีกว่าที่คิดไว้ ชอบคะ
<ATTRS> ผ้า ใส่สบาย <CONT_START> โอเครค่ะได้สินค้าตามรูป <START>,<ATTRS> ผ้า ใส่สบาย <CONT_START> โอเครค่ะได้สินค้าตามรูป <START> โอเครค่ะได้สินค้าตามรูปผ้าใส่สบาย
<ATTRS> สวยถูกใจส่ง เร็ว <CONT_START> เสื้อค่ะทันใจดี <START>,<ATTRS> สวยถูกใจส่ง เร็ว <CONT_START> เสื้อค่ะทันใจดี <START> เสื้อสวยถูกใจค่ะส่งเร็วทันใจดี
<ATTRS> คุณภาพ เหมาะสมกับ ราคาจัดส่ง เร็ว <CONT_START>  ใช้งานOK ต่อดูภาพจากคอมชัดมาก ดี <START>,<ATTRS> คุณภาพ เหมาะสมกับ ราคาจัดส่ง เร็ว <CONT_START>  ใช้งานOK ต่อดูภาพจากคอมชัดมาก ดี <START> คุณภาพเหมาะสมกับราคา ใช้งานOK ต่อดูภาพจากคอมชัดมาก จัดส่งเร็วดี
<ATTRS> ดีมากๆไม่ผิดหวัง <CONT_START> เนื้อผ้าๆๆๆเกินราคา กำลังจะสั่งเพิ่มอีก ช้าหน่อยแต่ได้มาเลยค่ะ <START>,<ATTRS> ดีมากๆไม่ผิดหวัง <CONT_START> เนื้อผ้าๆๆๆเกินราคา กำลังจะสั่งเพิ่มอีก ช้าหน่อยแต่ได้มาเลยค่ะ <START> เนื้อผ้าดีมากๆๆๆๆเกินราคา กำลังจะสั่งเพิ่มอีก ช้าหน่อยแต่ได้มาไม่ผิดหวังเลยค่ะ
<ATTRS> ▁ ราคาไม่แพงพอใจ มาก <CONT_START> ใช้ดี เกินค่ะ  <START>,<ATTRS> ▁ ราคาไม่แพงพอใจ มาก <CONT_START> ใช้ดี เกินค่ะ  <START> ใช้ดี ราคาไม่แพงเกินค่ะ พอใจมาก
<ATTRS> ไม่ เหี่ยว ▁ เราใช้ดีมากค่ะ <CONT_START> ใช้ ช่วยให้หน้าตึงขึ้น หน้าไม่เหี่ยว เราใช้มาตลอดค่ะ สั่งอีกแน่ <START>,<ATTRS> ไม่ เหี่ยว ▁ เราใช้ดีมากค่ะ <CONT_START> ใช้ ช่วยให้หน้าตึงขึ้น หน้าไม่เหี่ยว เราใช้มาตลอดค่ะ สั่งอีกแน่ <START> ใช้ดีมากค่ะ ช่วยให้หน้าตึงขึ้น หน้าไม่เหี่ยว  เราใช้มาตลอดค่ะ สั่งอีกแน่
<ATTRS> เลือก ไม่ผิด▁ชอบ <CONT_START> จากการพิสูจน์เป็นหนังแท้  งานเย็บละเอียด ครับ <START>,<ATTRS> เลือก ไม่ผิด▁ชอบ <CONT_START> จากการพิสูจน์เป็นหนังแท้  งานเย็บละเอียด ครับ <START> จากการพิสูจน์เป็นหนังแท้ เลือกไม่ผิด งานเย็บละเอียด ชอบครับ
<ATTRS> สินค้า คุณภาพประทับใจ <CONT_START> แพ็คสินค้าดี  สมราคา แฟนครับ <START>,<ATTRS> สินค้า คุณภาพประทับใจ <CONT_START> แพ็คสินค้าดี  สมราคา แฟนครับ <START> แพ็คสินค้าดี สินค้าคุณภาพ สมราคา แฟนประทับใจครับ
<ATTRS> ได้ เร็วมากใช้ ได้ดีคุ้ม <CONT_START> ส่งของ สินค้าไม่มีปัญหา  <START>,<ATTRS> ได้ เร็วมากใช้ ได้ดีคุ้ม <CONT_START> ส่งของ สินค้าไม่มีปัญหา  <START> ส่งของได้เร็วมาก สินค้าใช้ได้ดีไม่มีปัญหา คุ้ม
<ATTRS> ▁ดีใจ <CONT_START> ด้วยนะ คุณหญิงกฤตยา <START>,<ATTRS> ▁ดีใจ <CONT_START> ด้วยนะ คุณหญิงกฤตยา <START> ดีใจด้วยนะ คุณหญิงกฤตยา
<ATTRS> ความภูมิใจที่สุด <CONT_START> เธอเป็นของฉัน <START>,<ATTRS> ความภูมิใจที่สุด <CONT_START> เธอเป็นของฉัน <START> เธอเป็นความภูมิใจที่สุดของฉัน
<ATTRS>  <CONT_START> ติดมหิดล รอบพอร์ตแล้ว เย้ๆๆ <START>,<ATTRS>  <CONT_START> ติดมหิดล รอบพอร์ตแล้ว เย้ๆๆ <START> ติดมหิดล รอบพอร์ตแล้ว เย้ๆๆ
<ATTRS> ฟิน <CONT_START> เอาหมูคุโรบุตะมาทำสเต๊กนี่ กินแล้วขั้นเทพพพพ <START>,<ATTRS> ฟิน <CONT_START> เอาหมูคุโรบุตะมาทำสเต๊กนี่ กินแล้วขั้นเทพพพพ <START> เอาหมูคุโรบุตะมาทำสเต๊กนี่ กินแล้วฟินขั้นเทพพพพ
<ATTRS> ▁ยินดีด้วย▁ มา <CONT_START> แนนได้ผู้แทนเลขละ สอนข้าน้อยด้วยด่วนๆ5555 <START>,<ATTRS> ▁ยินดีด้วย▁ มา <CONT_START> แนนได้ผู้แทนเลขละ สอนข้าน้อยด้วยด่วนๆ5555 <START> ยินดีด้วยแนนได้ผู้แทนเลขละ มาสอนข้าน้อยด้วยด่วนๆ5555
<ATTRS> น่ารักมากอย่างสงบ ศพ สีชมพู❤ <CONT_START> มายด์ ตาย️ <START>,<ATTRS> น่ารักมากอย่างสงบ ศพ สีชมพู❤ <CONT_START> มายด์ ตาย️ <START> น่ารักมากมายด์ ตายอย่างสงบศพสีชมพู❤️
<ATTRS> งดงาม <CONT_START> พระคุณที่สามแจ่มใส <START>,<ATTRS> งดงาม <CONT_START> พระคุณที่สามแจ่มใส <START> พระคุณที่สามงดงามแจ่มใส
<ATTRS> ▁ชอบ <CONT_START> 5555555555 ขำจังเลย ตลกดี  <START>,<ATTRS> ▁ชอบ <CONT_START> 5555555555 ขำจังเลย ตลกดี  <START> 5555555555 ขำจังเลย ตลกดี ชอบ
<ATTRS> น่ารักจัง <CONT_START> สวัสดีครับ หมาคุณเลย มันชื่ออะไรหรอคับ <START>,<ATTRS> น่ารักจัง <CONT_START> สวัสดีครับ หมาคุณเลย มันชื่ออะไรหรอคับ <START> สวัสดีครับ หมาคุณน่ารักจังเลย มันชื่ออะไรหรอคับ
<ATTRS> ▁ดีใจ <CONT_START> ด้วยครับ พี่แบม <START>,<ATTRS> ▁ดีใจ <CONT_START> ด้วยครับ พี่แบม <START> ดีใจด้วยครับ พี่แบม
<ATTRS> น่ายินดียินดี <CONT_START>  เป็นเรื่องที่น่ามาก <START>,<ATTRS> น่ายินดียินดี <CONT_START>  เป็นเรื่องที่น่ามาก <START> ยินดี เป็นเรื่องที่น่ายินดีมาก
<ATTRS> ▁น่ารัก <CONT_START>  น่ากอด หลานใครเนี่ย <START>,<ATTRS> ▁น่ารัก <CONT_START>  น่ากอด หลานใครเนี่ย <START> น่ารัก น่ากอด หลานใครเนี่ย
<ATTRS> ชอบ <CONT_START> เราก้เทอเหมือนกันจ้าาา ตกลงครัช <START>,<ATTRS> ชอบ <CONT_START> เราก้เทอเหมือนกันจ้าาา ตกลงครัช <START> เราก้ชอบเทอเหมือนกันจ้าาา ตกลงครัช
<ATTRS> ▁ขอบคุณ <CONT_START> ไม่ ไม่ปฏิเสธ สำหรับซูชิหน้าปลาไหลญี่ปุ่นงับ <START>,<ATTRS> ▁ขอบคุณ <CONT_START> ไม่ ไม่ปฏิเสธ สำหรับซูชิหน้าปลาไหลญี่ปุ่นงับ <START> ไม่ ไม่ปฏิเสธ ขอบคุณสำหรับซูชิหน้าปลาไหลญี่ปุ่นงับ
<ATTRS> ดีใจมาก <CONT_START> ทำได้แล้ว  <START>,<ATTRS> ดีใจมาก <CONT_START> ทำได้แล้ว  <START> ทำได้แล้ว ดีใจมาก
<ATTRS>  <CONT_START> น้ำหนักลงสี่โลแล้วอ่อ คอนเกรทค่ะเพื่อน <START>,<ATTRS>  <CONT_START> น้ำหนักลงสี่โลแล้วอ่อ คอนเกรทค่ะเพื่อน <START> น้ำหนักลงสี่โลแล้วอ่อ คอนเกรทค่ะเพื่อน
<ATTRS> สวยจัง <CONT_START>  พี่เบล <START>,<ATTRS> สวยจัง <CONT_START>  พี่เบล <START> สวยจัง พี่เบล
<ATTRS> ดีมากยอดเยี่ยม <CONT_START> เป็นงานที่ดู  <START>,<ATTRS> ดีมากยอดเยี่ยม <CONT_START> เป็นงานที่ดู  <START> เป็นงานที่ดูดีมาก ยอดเยี่ยม
<ATTRS> ทุกคน ▁ ที่ทําให้ ผมได้▁ขอบคุณ <CONT_START> แฟนคลับทุกคน ที่ทำให้ผมได้รับรางวัลนี้ครับ\uf04a <START>,<ATTRS> ทุกคน ▁ ที่ทําให้ ผมได้▁ขอบคุณ <CONT_START> แฟนคลับทุกคน ที่ทำให้ผมได้รับรางวัลนี้ครับ\uf04a <START> ขอบคุณแฟนคลับทุกคน ที่ทำให้ผมได้รับรางวัลนี้ครับ\uf04a
<ATTRS> มากครับ ▁พี่▁ชอบงาม <CONT_START> มากครับ พี่ป๊อบตาแหลม น้ำใจจริงๆ <START>,<ATTRS> มากครับ ▁พี่▁ชอบงาม <CONT_START> มากครับ พี่ป๊อบตาแหลม น้ำใจจริงๆ <START> ชอบมากครับ พี่ป๊อบตาแหลม น้ำใจงามจริงๆ
<ATTRS> งดงาม <CONT_START> นาฬิกาเรือนดังกล่าว เหลือเกิน <START>,<ATTRS> งดงาม <CONT_START> นาฬิกาเรือนดังกล่าว เหลือเกิน <START> นาฬิกาเรือนดังกล่าว งดงามเหลือเกิน
<ATTRS> บ้าน ที่ดี <CONT_START> บ้านเมืองนี้เป็น ดั่งสวนสวรรค์สราญใจ <START>,<ATTRS> บ้าน ที่ดี <CONT_START> บ้านเมืองนี้เป็น ดั่งสวนสวรรค์สราญใจ <START> บ้านเมืองนี้เป็นบ้านที่ดี ดั่งสวนสวรรค์สราญใจ
